"MATERIA","DESCRIPCION","ABREVIATURA","DEPARTAMENTO","CURSO"
34680,Fabricación asistida por ordenador,FAO,,CFGS (Mod. Presencial) (LOE) - Programación de la Producción en Fabricación Mecánica
34682,Programación de la producción,PP,,CFGS (Mod. Presencial) (LOE) - Programación de la Producción en Fabricación Mecánica
34684,"Gestión de la calidad, prevención de riesgos laborales y protección ambiental",GCPR,,CFGS (Mod. Presencial) (LOE) - Programación de la Producción en Fabricación Mecánica
34688,Verificación de productos,VP,,CFGS (Mod. Presencial) (LOE) - Programación de la Producción en Fabricación Mecánica
34690,Formación y Orientación Laboral,FOL,,CFGS (Mod. Presencial) (LOE) - Programación de la Producción en Fabricación Mecánica
34694,Empresa e iniciativa emprendedora,EIE,,CFGS (Mod. Presencial) (LOE) - Programación de la Producción en Fabricación Mecánica
34698,Proyecto de fabricación de productos mecánicos,PFPM,,CFGS (Mod. Presencial) (LOE) - Programación de la Producción en Fabricación Mecánica
34700,Formación en Centros de Trabajo,FCT,,CFGS (Mod. Presencial) (LOE) - Programación de la Producción en Fabricación Mecánica
30592,Religión católica,REL,,1º de Bachillerato (Ciencias y Tecnología)
32024,Matemáticas II,MAT2,,2º de Bachillerato (Ciencias y Tecnología)
32026,Química,QUI,,2º de Bachillerato (Ciencias y Tecnología)
32028,Tecnología industrial II,TIN2,,2º de Bachillerato (Ciencias y Tecnología)
32030,Economía de la empresa,EEMP,,2º de Bachillerato (Humanidades y Ciencias Sociales)
32032,Geografía,GEO,,2º de Bachillerato (Humanidades y Ciencias Sociales)
32034,Griego II,GRI2,,2º de Bachillerato (Humanidades y Ciencias Sociales)
32036,Historia del arte,HA,,2º de Bachillerato (Humanidades y Ciencias Sociales)
32038,Latín II,LAT2,,2º de Bachillerato (Humanidades y Ciencias Sociales)
32040,Literatura universal,LITU,,2º de Bachillerato (Humanidades y Ciencias Sociales)
32042,Matemáticas aplicadas a las ciencias sociales II,MACS2,,2º de Bachillerato (Humanidades y Ciencias Sociales)
32044,Biología,BIO,,2º de Bachillerato (Humanidades y Ciencias Sociales)
32046,Ciencias de la Tierra y medioambientales,CTM,,2º de Bachillerato (Humanidades y Ciencias Sociales)
32052,Física,FIS,,2º de Bachillerato (Humanidades y Ciencias Sociales)
32054,Matemáticas II,MAT2,,2º de Bachillerato (Humanidades y Ciencias Sociales)
32056,Química,QUI,,2º de Bachillerato (Humanidades y Ciencias Sociales)
